gender,math_q,science_q,language_q,n,stem,stem_rate
Men,Q3,Q3,Q3,772,306,0.396373056994819
Women,Q3,Q4,Q3,1293,398,0.307811291569992
Men,Q4,Q4,Q3,1281,620,0.4839968774395
Women,Q2,Q1,Q2,566,116,0.204946996466431
Men,Q2,Q2,Q3,291,81,0.278350515463918
Women,Q1,Q3,Q1,144,37,0.256944444444444
Women,Q1,Q2,Q2,657,133,0.202435312024353
Women,Q5,Q4,Q4,1822,770,0.422612513721186
Men,Q3,Q4,Q3,694,314,0.452449567723343
Women,Q4,Q4,Q4,3851,1243,0.3227733056349
Men,Q5,Q5,Q4,4091,2586,0.632119286238084
Women,Q5,Q5,Q5,14618,7410,0.506909289916541
Men,Q4,Q3,Q4,779,286,0.367137355584082
Women,Q3,Q3,Q3,1701,484,0.284538506760729
Women,Q2,Q4,Q3,441,119,0.26984126984127
Women,Q3,Q2,Q3,844,217,0.257109004739337
Men,Q3,Q4,Q2,365,168,0.46027397260274
Men,Q4,Q3,Q5,281,82,0.291814946619217
Women,Q4,Q4,Q5,2899,845,0.291479820627803
Women,Q4,Q5,Q5,3620,1221,0.337292817679558
Men,Q3,Q2,Q3,312,110,0.352564102564103
Men,Q2,Q3,Q3,358,141,0.393854748603352
Women,Q5,Q4,Q5,2181,816,0.37414030261348
Women,Q4,Q1,Q5,52,12,0.230769230769231
Men,Q4,Q4,Q5,1150,456,0.396521739130435
Women,Q4,Q2,Q3,391,111,0.283887468030691
Women,Q4,Q5,Q4,2017,779,0.38621715418939
Women,Q3,Q4,Q2,567,171,0.301587301587302
Men,Q3,Q5,Q5,276,116,0.420289855072464
Women,Q4,Q3,Q2,620,186,0.3
Men,Q5,Q5,Q5,13843,8775,0.633894387054829
Women,Q4,Q3,Q3,1204,358,0.29734219269103
Men,Q2,Q4,Q2,165,76,0.460606060606061
Women,Q2,Q3,Q4,811,183,0.225647348951911
Men,Q4,Q5,Q4,1417,712,0.502470007057163
Women,Q1,Q3,Q2,255,57,0.223529411764706
Women,Q2,Q4,Q4,512,137,0.267578125
Men,Q5,Q4,Q4,1503,783,0.520958083832335
Women,Q2,Q2,Q2,1068,239,0.223782771535581
Men,Q5,Q3,Q5,200,78,0.39
Women,Q3,Q2,Q2,851,234,0.27497062279671
Women,Q1,Q1,Q1,995,167,0.1678391959799
Women,Q2,Q2,Q4,487,88,0.180698151950719
Men,Q3,Q2,Q1,214,79,0.369158878504673
Men,Q3,Q4,Q4,781,334,0.427656850192061
Men,Q4,Q4,Q2,569,275,0.483304042179262
Women,Q3,Q3,Q4,1742,444,0.2548794489093
Women,Q2,Q5,Q4,84,29,0.345238095238095
Women,Q4,Q5,Q3,543,228,0.419889502762431
Women,Q5,Q2,Q4,69,24,0.347826086956522
Women,Q4,Q3,Q5,778,200,0.25706940874036
Women,Q2,Q3,Q3,1097,289,0.263445761166819
Women,Q5,Q2,Q3,55,19,0.345454545454545
Men,Q3,Q3,Q5,164,54,0.329268292682927
Women,Q5,Q5,Q2,95,54,0.568421052631579
Women,Q5,Q5,Q4,3244,1608,0.495684340320592
