subject,subject_label,quintile,diff_median,lower_95,upper_95,pr_women_lower,pr_women_higher,pr_equivalent_1pp
math,Matematicas,Q3,-0.128997839796971,-0.142457089899619,-0.115385588785794,1,0,0
math,Matematicas,Q4,-0.12120915630451,-0.131829511726718,-0.11037307478881,1,0,0
math,Matematicas,Q2,-0.115902148724403,-0.133324062133791,-0.0989474488289891,1,0,0
math,Matematicas,Q1,-0.0937780421344188,-0.11785542027592,-0.0699929279522291,1,0,0
math,Matematicas,Q5,-0.133996047951924,-0.142647617011167,-0.125153915131394,1,0,0
science,Ciencias naturales,Q3,-0.128673382518523,-0.141918133958764,-0.115038841901307,1,0,0
science,Ciencias naturales,Q4,-0.138396233411397,-0.149129742235937,-0.127427501587997,1,0,0
science,Ciencias naturales,Q1,-0.112474253911119,-0.13410193387789,-0.0906495465570926,1,0,0
science,Ciencias naturales,Q2,-0.129259145131955,-0.146518538819988,-0.112361461137844,1,0,0
science,Ciencias naturales,Q5,-0.138859959805802,-0.147364998581299,-0.130151538959524,1,0,0
language,Lenguaje,Q3,-0.168885749877263,-0.181975618233698,-0.155855141338851,1,0,0
language,Lenguaje,Q2,-0.161111011561694,-0.176720464243365,-0.145932705187801,1,0,0
language,Lenguaje,Q1,-0.163188240645531,-0.185440312889826,-0.140541471833561,1,0,0
language,Lenguaje,Q4,-0.161653390525729,-0.172386080341268,-0.151028546239444,1,0,0
language,Lenguaje,Q5,-0.152811517912021,-0.161960223703822,-0.143901895716435,1,0,0
