subject,subject_label,quintile,diff_median,lower_95,upper_95,pr_women_lower,pr_women_higher,pr_equivalent_1pp
math,Matematicas,Q1,-0.0566890198236199,-0.0837283154912368,-0.0307105624853541,1,0,0.000125
math,Matematicas,Q2,-0.0810731999256928,-0.102255117920519,-0.0605258399991945,1,0,0
math,Matematicas,Q3,-0.096527682849965,-0.115240151103147,-0.0779806372322861,1,0,0
math,Matematicas,Q4,-0.0930981895880322,-0.11213241230831,-0.074444515437004,1,0,0
math,Matematicas,Q5,-0.12063192257173,-0.14512355909245,-0.0972852951519384,1,0,0
science,Ciencias naturales,Q1,-0.0882376847115862,-0.115083274803278,-0.0620573338465067,1,0,0
science,Ciencias naturales,Q2,-0.0954270225988068,-0.117727229140901,-0.0742191150303343,1,0,0
science,Ciencias naturales,Q3,-0.096527682849965,-0.115240151103147,-0.0779806372322861,1,0,0
science,Ciencias naturales,Q4,-0.10586839544384,-0.125790318170004,-0.0862936388578027,1,0,0
science,Ciencias naturales,Q5,-0.122468332351492,-0.147204144421844,-0.0978542571283673,1,0,0
language,Lenguaje,Q1,-0.136396490808429,-0.165937081431886,-0.106106130055261,1,0,0
language,Lenguaje,Q2,-0.111911369329649,-0.132466256800358,-0.090975701462531,1,0,0
language,Lenguaje,Q3,-0.096527682849965,-0.115240151103147,-0.0779806372322861,1,0,0
language,Lenguaje,Q4,-0.0768540038518585,-0.0946332314329597,-0.0592714181875273,1,0,0
language,Lenguaje,Q5,-0.0756346726458529,-0.094551290396533,-0.0579144561654625,1,0,0
