subject,subject_label,comparison,diff_median,lower_95,upper_95,pr_women_higher
math,Matematicas,Women Q2 - Men Q1,-0.0339249367291475,-0.0595813135941151,-0.00929818470374959,0.003375
math,Matematicas,Women Q3 - Men Q2,-0.0476227263682132,-0.0680488137024088,-0.0272205099965962,0
math,Matematicas,Women Q4 - Men Q3,-0.0702343477344123,-0.0894169480047436,-0.0510985833569556,0
math,Matematicas,Women Q5 - Men Q4,0.0142146324569852,-0.00745539596622994,0.0356206877522857,0.902875
science,Ciencias naturales,Women Q2 - Men Q1,-0.0544637646749999,-0.079837518854946,-0.0293374814147182,0
science,Ciencias naturales,Women Q3 - Men Q2,-0.0701224195427647,-0.0912225938201688,-0.0492846924418269,0
science,Ciencias naturales,Women Q4 - Men Q3,-0.0640165663527581,-0.083313010272894,-0.0449346840541467,0
science,Ciencias naturales,Women Q5 - Men Q4,-0.0216405910537159,-0.0438484060247121,0.000588906299822958,0.027875
language,Lenguaje,Women Q2 - Men Q1,-0.129166485175522,-0.155413789408586,-0.101509719523122,0
language,Lenguaje,Women Q3 - Men Q2,-0.121626601317977,-0.141397433388241,-0.101437327203341,0
language,Lenguaje,Women Q4 - Men Q3,-0.11410407400878,-0.13264077227017,-0.0957033607855975,0
language,Lenguaje,Women Q5 - Men Q4,-0.0955649733268033,-0.113531165191698,-0.0775750948225387,0
